date,ticker,open,close,adjusted_open,adjusted_close,raw_CC,r_CC,cc_adjustment_gap
2016-06-13,TALO,0.9101,0.8382,5.171239883082797,4.7627,90.1086956521739,8.104760084113936,-82.00393556805997
2017-05-01,CIVI,40.6,39.2,27.800642857142854,26.842,75.86274509803923,-0.3111925437786127,-76.17393764181784
2012-04-30,TGTX,6.25,6.2,6.25,6.2,61.0,0.10222222222222221,-60.897777777777776
2020-04-23,NBR,10.35,11.67,10.35,11.67,54.57142857142858,0.11142857142857143,-54.46000000000001
2011-07-14,TGTX,0.325,0.325,18.2813,18.2813,49.00000000000001,0.0,-49.00000000000001
2017-08-01,TDW,21.0,25.0,20.96766,24.9615,25.881720430107524,-0.16666666666666663,-26.048387096774192
2020-06-02,VTLE,17.31,20.35,17.31,20.35,21.865168539325843,0.1432584269662922,-21.721910112359552
2013-10-16,VCEL,3.81,3.74,3.81,3.74,18.278350515463917,-0.036082474226803996,-18.314432989690722
2012-06-15,GRBK,5.2721,4.839,3.441300901012606,3.1586,17.490638135269396,-0.07513469196533151,-17.565772827234728
2017-03-01,TALO,32.08,26.01,32.08,26.01,20.295234976256754,2.7480546429189,-17.547180333337856
