year,n_eligible_stock_days,n_htb_stock_days,avg_dsi,avg_dtcn,htb_share
2010,231668,62678,0.055976387637480474,6.991837737606048,0.27055096085777924
2011,242078,57096,0.050648881756256814,6.411640036785969,0.2358578639942498
2012,239446,54840,0.04794713567859629,6.717994149711973,0.2290286745236922
2013,243467,49442,0.045711497887024326,6.54453607031498,0.20307474935001457
2014,243889,45147,0.044551534073105366,6.038328454143491,0.1851128997207746
2015,241418,42061,0.04517814571809852,5.764287653059522,0.1742247885410367
2016,240371,46708,0.04907853435843931,5.812816837696223,0.19431628607444326
2017,239948,44526,0.04490862196735175,5.780849302815783,0.18556520579458882
2018,240014,35673,0.042602748986260104,5.13737560825204,0.14862882998491755
2019,240213,34305,0.04171863502250501,5.269918529738769,0.1428107554545341
2020,236487,24138,0.037582423720738,4.227193730108216,0.10206903550723719
2021,240577,18446,0.03044344736146934,4.182971378589457,0.07667399626730735
2022,239159,13564,0.031395325499793084,3.7932975637262447,0.05671540690502971
2023,237654,15742,0.031877380126115226,3.8885194409156703,0.06623915440093582
2024,239657,14254,0.03263707910777769,3.894804821011671,0.059476668739072924
